2026-01-15 11:49:23,658 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:23] "OPTIONS /users HTTP/1.1" 200 -
2026-01-15 11:49:23,738 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:23] "GET /users HTTP/1.1" 200 -
2026-01-15 11:49:23,802 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:23] "GET /users HTTP/1.1" 200 -
2026-01-15 11:49:25,660 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:25] "OPTIONS /users/9 HTTP/1.1" 200 -
2026-01-15 11:49:25,661 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:25] "OPTIONS /users/9 HTTP/1.1" 200 -
2026-01-15 11:49:25,675 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:25] "GET /users/9 HTTP/1.1" 200 -
2026-01-15 11:49:25,683 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:25] "GET /users/9 HTTP/1.1" 200 -
2026-01-15 11:49:25,696 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:25] "[36mGET /uploads/profiles/avatar.png HTTP/1.1[0m" 304 -
2026-01-15 11:49:28,727 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:28] "OPTIONS /users HTTP/1.1" 200 -
2026-01-15 11:49:28,731 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:28] "OPTIONS /users HTTP/1.1" 200 -
2026-01-15 11:49:28,814 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:28] "GET /users HTTP/1.1" 200 -
2026-01-15 11:49:28,857 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:28] "GET /users HTTP/1.1" 200 -
2026-01-15 11:49:30,020 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:30] "OPTIONS /users/18 HTTP/1.1" 200 -
2026-01-15 11:49:30,022 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:30] "OPTIONS /users/18 HTTP/1.1" 200 -
2026-01-15 11:49:30,031 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:30] "GET /users/18 HTTP/1.1" 200 -
2026-01-15 11:49:30,039 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:30] "GET /users/18 HTTP/1.1" 200 -
2026-01-15 11:49:33,805 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:33] "GET /users HTTP/1.1" 200 -
2026-01-15 11:49:33,857 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:33] "GET /users HTTP/1.1" 200 -
2026-01-15 11:49:52,177 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:52] "OPTIONS /login HTTP/1.1" 200 -
